,site_code,Taxon,mean.after.control.0,mean.after.drought.0,mean.before.control.0,mean.before.drought.0,drought.after.before,control.after.before,cover.change
178,bfl.us,HETEROPOGON CONTORTUS,0,8.5,0,0,8.5,0,8.5
179,bfl.us,HYPERICUM DRUMMONDII,5,0,0,0,0,5,-5
180,bfl.us,IVA ANGUSTIFOLIA,15,24.5,0,0,24.5,15,9.5
181,bfl.us,LECHEA SAN-SABEANA,0,3.666666667,0,0,3.666666667,0,3.666666667
182,bfl.us,LIATRIS PUNCTATA,13.66666667,11.5,0,0,11.5,13.66666667,-2.166666667
183,bfl.us,LINUM RIGIDUM,1,8,0,0,8,1,7
184,bfl.us,PHYLLANTHUS POLYGONOIDES,1,1,0,0,1,1,0
185,bfl.us,PLANTAGO RHODOSPERMA,1,1,0,0,1,1,0
186,bfl.us,POLYPREMUM PROCUMBENS,1,2.5,0,0,2.5,1,1.5
187,bfl.us,QUERCUS FUSIFORMIS,0,1,0,0,1,0,1
188,bfl.us,RUDBECKIA HIRTA,1,1.5,0,0,1.5,1,0.5
189,bfl.us,SCHIZACHYRIUM SCOPARIUM,9,6,0,0,6,9,-3
190,bfl.us,STENARIA NIGRICANS,4,1,0,0,1,4,-3
191,bfl.us,SYMPHYOTRICHUM DRUMMONDII,0,2,0,0,2,0,2
192,bfl.us,THELESPERMA FILIFOLIUM,3,0,0,0,0,3,-3
193,bfl.us,TORILIS ARVENSIS,1,0,0,0,0,1,-1
194,biddulph.ca,ARTEMISIA FRIGIDA,5,2,3,1,1,2,-1
195,biddulph.ca,ARTEMISIA LUDOVICIANA,0,1,0,0.75,0.25,0,0.25
196,biddulph.ca,CAMPANULA ROTUNDIFOLIA,0,4,0,0,4,0,4
197,biddulph.ca,CERASTIUM ARVENSE,0,2,0,0,2,0,2
198,biddulph.ca,CHONDROSUM GRACILE,2,0,0,0,0,2,-2
199,biddulph.ca,ELYMUS SMITHII,0,0.5,0,0,0.5,0,0.5
200,biddulph.ca,FESTUCA ALTAICA,2,0.5,0.666666667,2.166666667,-1.666666667,1.333333333,-3
201,biddulph.ca,HELICTOTRICHON HOOKERI,5,5,0,0,5,5,0
202,biddulph.ca,KOELERIA MACRANTHA,0.75,1,0,0,1,0.75,0.25
203,biddulph.ca,LIATRIS PUNCTATA,0,1,0,0,1,0,1
204,biddulph.ca,LYGODESMIA JUNCEA,0.75,0,0,1,-1,0.75,-1.75
205,biddulph.ca,PSORALEA LANCEOLATA,6.5,11,1.5,2,9,5,4
206,biddulph.ca,ROSA ARKANSANA,8,1,3,1,0,5,-5
207,biddulph.ca,SOLIDAGO MISSOURIENSIS,8,0,5,0,0,3,-3
208,biddulph.ca,STIPA COMATA,12.5,14.5,3.5,5.5,9,9,0
209,brokenh.au,ACACIA TETRAGONOPHYLLA,1,0,0,0,0,1,-1
210,brokenh.au,MAIREANA PYRAMIDATA,12,0,30,0,0,-18,18
211,brokenh.au,SCLEROLAENA DIACANTHA,1,1,1,1,0,0,0
212,brokenh.au,SIDA PETROPHILA,1.166666667,1,0,0,1,1.166666667,-0.166666667
213,brokenh.au,SOLANUM ELLIPTICUM,1,1,2,2,-1,-1,0
