Taxon,leafN.mg.g,height.m,rootN.mg.g,SLA_m2/kg,root.depth_m,RTD.g.cm3,SRL_m/g,rootDiam.mm,Notes,Notes.2,site_name,Family,local_lifeform,local_lifespan,functional_group,,,,
DALEA PURPUREA,14.1,0.5272,13.9583,13.02080619,1.525,0.174143261,73.40507735,0.341785714,"RootN, RTD, SRL, depth, diam from groot",,Oklahoma (KAEFS-OK),Fabaceae,FORB,PERENNIAL,LEGUME,,,,
DALEA SEARLSIAE,,,,,,,,,,,Hardware Ranch,Fabaceae,FORB,PERENNIAL,LEGUME,,,,
DALEA VILLOSA,25.11550703,0.514,11.2,9.669407895,1.524,,40,,"RootN, RTD, SRL, from groot",,Cedar Creek Trait,Fabaceae,FORB,PERENNIAL,LEGUME,,,"leafN, SLA from Carmona et al. 2021 Sci Adv.",
DANTHONIA CALIFORNICA,21.1,0.6096,,46.56,0.4064,,,,,,"ORE IDE AA, SantaCruzHigh",Poaceae,GRASS,PERENNIAL,GRASS,,,,
DANTHONIA DECUMBENS,16.5,0.35,,16.236,0.45,,,,,,Lygra_intermediate,Poaceae,GRASS,NULL,GRASS,,,,
DANTHONIA MONTEVIDENSIS,,0.223648649,,,,,,,,,Las Chilcas Drt,Poaceae,NULL,NULL,GRASS,,,,
DAPHNE LAUREOLA,23.91889407,0.9625,,9.236666667,,,,,,,Pineta,Thymelaeaceae,WOODY,NULL,WOODY,,,leafN from Carmona et al. 2021,
DAUCUS CAROTA,23.75644602,0.487097662,12.75277167,17.37707021,0.8266667,0.329231092,244.5257138,0.314314803,"RootC and N, RTD, SRL, Diam from groot",,"EE Elva, ESW, Jena",Apiaceae,FORB,BIENNIAL,FORB,,,,
DAUCUS GLOCHIDIATUS,,0.19,,24.46724868,,,,1.22,,,"Broken Hill, Jilpanger",Apiaceae,FORB,ANNUAL,FORB,,,,
DELPHINIUM MENZIESII,,,,,,,,,,,Cowichan Drt,Ranunculaceae,FORB,PERENNIAL,FORB,,,,
DESCHAMPSIA CESPITOSA,19.38145224,0.623466667,9.504294333,15.38069921,1.23,0.170736151,364.9892355,0.206048414,"RootC and N, RTD, SRL, Diam from groot",,Potrok Aike Drt,Poaceae,GRASS,PERENNIAL,GRASS,,,,
DESCHAMPSIA FLEXUOSA,21.14852266,0.40801415,6.90123,17.19285365,0.2032,0.386033,196.6766667,0.27,"RootC, SRL, from groot",,"HOIDE, HYIDE, Lygra_intermediate",Poaceae,GRASS,PERENNIAL,GRASS,,,,
DESCURAINIA PINNATA,,,,,,,,,,,"Gmdrc Granitecove, JRN_Chihuahuan, NNSS_Mojave, North Platte",Brassicaceae,FORB,PERENNIAL,FORB,,,,
DESMANTHUS ACUMINATUS,,,,,,,,,,,BFL,Fabaceae,FORB,PERENNIAL,LEGUME,,,,
DESMANTHUS ILLINOENSIS,38.8,0.9144,,9.88,,0.3048,45.09036443,0.25,SRL from groot,,Oklahoma (KAEFS-OK),Fabaceae,FORB,PERENNIAL,LEGUME,,,,
DESMODIUM ILLINOENSE,28.39,0.32,,11.96,,0.26,,0.2997,Diam from groot,,Purdue Wildlife Area,Fabaceae,LEGUME,NULL,LEGUME,,,,
DESMODIUM ROTUNDIFOLIUM,,,,,,,,,,,Sandhills,Fabaceae,LEGUME,PERENNIAL,LEGUME,,,,
DIANTHUS SEROTINUS,,,,8.61,,,,,,,Kiskunsag,Caryophyllaceae,FORB,PERENNIAL,FORB,,,,
DICHANTHELIUM OLIGOSANTHES,12.8,0.2083,4.73,23.2764706,,,7.466,0.36,,,"BFL, Cedar Point - Drought-Net, Konza Drt, Oklahoma (KAEFS-OK)",Poaceae,GRASS,PERENNIAL,GRASS,,,,
DICHELACHNE CRINITA,,1.25,,13.22276,,,,0.51,,,Yarramundi Drt,Poaceae,GRASS,PERENNIAL,GRASS,,,,
DICHELOSTEMMA CAPITATUM,22.2,,,,0.1,,,,,,"Cap Mcdowell, Cap Whitetank, Gmdrc Molar Junction",Asparagaceae,FORB,ANNUAL,FORB,,,leafN from Komastu et al. 2023 EDI,
DICHOPOGON STRICTUS,,,,,,,,,,,Jilpanger,Asparagaceae,FORB,PERENNIAL,FORB,,,,
DIGITARIA CALIFORNICA,12.9905373,1.2192,,20.9,0.254,,,,,,Los Cerrillos,Poaceae,GRASS,PERENNIAL,GRASS,,,,
DIGITARIA COGNATA,18.09515288,0.242,,30.42998108,,,,,,,"Cedar Creek Savanna, Cedar Creek Trait ",Poaceae,GRASS,PERENNIAL,GRASS,,,,
DIHETEROPOGON AMPLECTENS,7.1951461,,,15.69,,,,,,,Ukulinga Drought,Poaceae,GRASS,PERENNIAL,GRASS,,,,
DIODELLA APICULATA,,,,,,,,,,,Guaribas,Rubiaceae,FORB,PERENNIAL,FORB,,,,
DIODIA TERES,,,,,,,,,,,"BFL, SLP",Rubiaceae,FORB,ANNUAL,FORB,,,,
DIOSPYROS VIRGINIANA,28.2,9.457333333,16.71939583,11.37839081,0.9144,0.133833333,22.87048611,0.589423176,"RootC and N, RTD, SRL, Diam from groot",,Sandhills,Ebenaceae,SHRUB,PERENNIAL,WOODY,,,,
DIPCADI VIRIDE,,,,,,,,,,,Ukulinga Drought,Asparagaceae,FORB,PERENNIAL,FORB,,,,
DIPLOTAXIS TENUIFOLIA,,0.575,,22.45,,,,,,,Naposta,Brassicaceae,FORB,BIENNIAL,FORB,,,,
DISTICHLIS distichophylla,,0.6,,5.262611,,,,,,,Jilpanger,Poaceae,GRASS,PERENNIAL,GRASS,,,,
DODECATHEON HENDERSONII,23.2,,,,,,,,,,Cowichan Drt,Primulaceae,FORB,PERENNIAL,FORB,,leafN from Carmona et al. 2021 Sci Adv,,
DORYCNIUM PENTAPHYLLUM,24.5,0.4,,20.8,1.17,0.56,3.83,,"RTD, SRL from groot",,Ayora Experimental Station,Fabaceae,SUBSHRUB,PERENNIAL,LEGUME,,,,
DRABA VERNA,20.4,0.42,,22.11,1.318005405,0.78395,18.8462,0.52189,,,"ORE IDE AA, ORE IDE AC",Brassicaceae,FORB,ANNUAL,FORB,,,,
DROSERA ABERRANS,,0.03,,10.411994,,,,,,,Jilpanger,Droseraceae,FORB,PERENNIAL,FORB,,,,
DROSERA GLANDULIGERA,,0.02462529,,,,,,,,,Jilpanger,Droseraceae,FORB,PERENNIAL,FORB,,,,
DROSERA HOOKERI,,,,,,,,,,,Jilpanger,Droseraceae,FORB,PERENNIAL,FORB,,,,
ECHINOPS SPHAEROCEPHALUS,,1.4375,,,,,,,,,Bad Drought,Compositae,FORB,BIENNIAL,FORB,,,,
ECHIUM VULGARE,23.6,0.716666667,,14.45,2.57,,,0.385,,,"Allmend Brachy, Allmend Ovina",Boraginaceae,FORB,PERENNIAL,FORB,,,,
EHRHARTA STIPOIDES,25.541,,,21.72,,0.72,,0.043,,,Yarramundi Drt,Poaceae,GRASS,PERENNIAL,GRASS,,,,
ELEOCHARIS BONARIENSIS,,,,,,,,,,,Mar Chiquita Drt,Cyperaceae,GRAMINOID,PERENNIAL,GRAMINOID,,,,
ELEOCHARIS VIRIDANS,,,,,,,,,,,Las Chilcas Drt,Cyperaceae,GRAMINOID,PERENNIAL,GRAMINOID,,,,
ELYMUS ELYMOIDES,13.572,0.4235,10.19,13.868725,0.3048,0.387230769,48.4183,0.62,,rootC from groot,"Cedar Point - Drought-Net, OCTC_GreatBasin, ORE IDE AA, ORE IDE AC",Poaceae,GRASS,PERENNIAL,GRASS,,,,
ELYMUS GLAUCUS,20.02,1.00584,10.4,14.9305,0.3048,0.49,34.8825,,,,"Cowichan Drt, SantaCruzHigh",Poaceae,"GRASS, forb (SantaCruzHigh)",PERENNIAL,GRASS,,,,
ELYMUS LANCEOLATUS,25.371642,0.70104,,22.74526261,1.25,0.30820288,94.78007133,0.221186667,"RootC, RTD, depth, SRL from groot",,Kinsella,Poaceae,GRASS,PERENNIAL,GRASS,,,height from Carmona et al. 2021 Sci Adv,
ELYMUS REPENS,26.17661742,0.605442518,16.42030861,22.79877956,0.3556,0.220460629,91.89875611,0.258457785,"RootC and N, RTD, SRL, Diam from groot",,"Bayreuth_DroughtNet, Brookdale, ESW, Jena",Poaceae,GRASS,PERENNIAL,GRASS,,,,
ELYMUS SMITHII,28.0185,0.6096,17.06975875,31.74700117,0.508,,73.5,,"RootN, SRL from groot",,Biddulph,Poaceae,GRAMINOID,PERENNIAL,GRASS,,,,
ELYMUS SPICATUS,14.64,0.8382,,17.38104639,0.254,,,,,,CMSS,Poaceae,GRASS,PERENNIAL,GRASS,,,"leafN from Adler P. B., D. G. Milchunas, W. K. Lauenroth, O. E. Sala and I. C. Burke  (2004) Functional traits of graminoids in semi-arid steppes: a test of grazing histories. Journal of Applied Ecology 2004 41, 653–663",SLA from Carmona et al. 2021 Sci Adv
ELYMUS TRACHYCAULUS,13.85333333,0.466,8.22,11.45053,1.07,,62.476,,"RootC and N, SRL from groot",,"Kernen_burned, Kernen_unburned, Kinsella",Poaceae,GRAMINOID,PERENNIAL,GRASS,,,,
EMEX AUSTRALIS,,,,,,,,,,,"Charleville, Cobar",Polygonaceae,FORB,ANNUAL,FORB,,,,
EMPETRUM NIGRUM,11.54888567,0.271133333,6.06,9.729822391,0.2532,0.0857764,,,,,"HOIDE, Lygra_intermediate, Lygra_old",Ericaceae,SHRUB,PERENNIAL,WOODY,,,,
ENCELIA FARINOSA,32.74675,0.9144,,11.31084923,0.3048,,,,,,"Cap Mcdowell, Cap Whitetank",Compositae,FORB,ANNUAL,FORB,,,"leafN, SLA from Carmona et al. 2021 Sci Adv.",
ENNEAPOGON CAERULESCENS,,0.4,,,,,,,,,"CredoJ, CredoM",Poaceae,GRASS,PERENNIAL,GRASS,,,,
ENNEAPOGON POLYPHYLLUS,10.55,0.325,3.7,7.035333333,,0.44,,0.6,RTD from groot,,"CredoJ, CredoM",Poaceae,GRASS,PERENNIAL,GRASS,,,,
ENTEROPOGON RAMOSUS,,1,,,,,,,,,"CredoJ, CredoM",Poaceae,GRASS,PERENNIAL,GRASS,,,,
EPHEDRA NEVADENSIS,,0.9144,,,0.1524,,,,,,NNSS_Mojave,Ephedraceae,SHRUB,PERENNIAL,WOODY,,,,
EPILOBIUM ANGUSTIFOLIUM,26.69696541,1.0483,,19.77553761,0.627,,261.095,,SRL from groot,,Bad Drought,Onagraceae,FORB,PERENNIAL,FORB,,,,
EPILOBIUM BRACHYCARPUM,30.48666667,0.286,10.95816314,21.56584,,,81.71053333,,"RootC and N, SRL from groot",,"ORE IDE AA, ORE IDE AC",Onagraceae,FORB,ANNUAL,FORB,,,,
EPILOBIUM TETRAGONUM,29.10047423,0.720833333,,15.9,,,,,,,"Bad Drought, Jena",Onagraceae,FORB,PERENNIAL,FORB,,,"leafN from Van Cleemput,E., Roberts, D., Honnay, O., Somers, B. (2019). A novel procedure for measuring functional traits of herbaceous species through field spectroscopy. Methods in Ecology and Evolution. XXX(XXX). https://doi.org/10.1111/2041-210X.13237",
Epipactis PALUSTRIS,,0.4375,,22.62,,,,,,,Pineta,Orchidaceae,FORB,NULL,FORB,,,,
EQUISETUM ARVENSE,20.06733732,0.344317143,,13.18450744,0.2262,,89.07333333,,,,"EE Elva, Rhijnauwen, Teshio Experimental Grassland",Equisetaceae,FORB,PERENNIAL,FORB,,,"SRL from Ali, H.E., Reineking, B. & Münkemüller, T. Plant Soil (2017) 411: 359. https://doi.org/10.1007/s11104-016-3036-5",
ERAGROSTIS CURVULA,15.862,0.9144,5.6,10.92,0.3556,0.674737064,,0.071,RTD from groot,,Yarramundi Drt,Poaceae,GRASS,PERENNIAL,GRASS,,,,
ERAGROSTIS DIELSII,,0.3,,5.7,,,,,,,"CredoJ, CredoM",Poaceae,GRASS,ANNUAL,GRASS,,,,
ERAGROSTIS ORTHOCLADA,,,,,,,,,,,Los Cerrillos,Poaceae,GRASS,PERENNIAL,GRASS,,,,
ERAGROSTIS SETIFOLIA,,0.38,,7.946703097,,,,,,,"Milparinka, Quilpie",Poaceae,GRASS,PERENNIAL,GRASS,,,,
ERAGROSTIS SPECTABILIS,10.935,0.23375,,24.79827372,0.1016,,,,,,"Bivens Arm, Cedar Creek Savanna, Konza Drt, Oklahoma (KAEFS-OK)",Poaceae,GRAMINOID,PERENNIAL,GRASS,,,,
EREMOGONE CONGESTA,,,,,,,,,,,"CMSS, ORE IDE AA",Caryophyllaceae,FORB,PERENNIAL,FORB,,,,
EREMOPHILA DUTTONII,,2.4,,5.646986263,,,,,,,Cobar,Scrophulariaceae,SHRUB,NULL,WOODY,,,,
EREMOPHILA GILESII,,0.90825,,8.200857,,,,,,,Charleville,Scrophulariaceae,SHRUB,NULL,WOODY,,,,
ERIACHNE ARISTIDEA,8.1,0.4625,4.5,38.9,,0.33,,0.9,RTD from groot,,"Ethabuka_DNB, Ethabuka_DNU",Poaceae,GRASS,NULL,GRASS,,,,
ERICA TETRALIX,11.50813841,0.465833333,,10.60442241,,,,0.07,,,"Lygra_intermediate, Lygra_old",Ericaceae,SUBSHRUB,NULL,WOODY,,,,
ERIGERON ANNUUS,13.87251282,0.790891667,,23.37334387,1.02,0.32875817,62.7520477,0.25,"RTD, SRL from groot",,ESW,Compositae,FORB,ANNUAL,FORB,,,,
ERIGERON BELLIDIOIDES,,,,,0.95,,,,,,Falls Creek,Compositae,FORB,PERENNIAL,FORB,,,,
ERIGERON BLAKEI,,,,,,,,,,,Naposta,Compositae,FORB,PERENNIAL,FORB,,,,
ERIGERON BLOOMERI,,,,,,,,,,,ORE IDE AA,Compositae,FORB,PERENNIAL,FORB,,,,
ERIGERON BONARIENSIS,20.2,0.46625,,17.6205,,,,,,,"Las Chilcas Drt, EEA, Mar Chiquita Drt, Naposta",Compositae,FORB,ANNUAL,FORB,,,,
ERIGERON CANADENSIS,27.5,0.676,,21.20435157,1.09,0.09,119,0.35,"RTD, SRL, Diam from groot",,"Bad Drought, Cedar Creek Savanna, SantaCruzLow, SantaCruzMiddle",Compositae,FORB,ANNUAL,FORB,,,,
ERIGERON PATAGONICUS,,,,,,,,,,,Potrok Aike Drt,Compositae,FORB,PERENNIAL,FORB,,,,
ERIGERON STRIGOSUS,15.42,0.566,,24.97386549,0.254,,15.73,,,,"Cedar Creek Savanna, Konza Drt, Oklahoma (KAEFS-OK)",Compositae,FORB,"ANNUAL, Perennial (Oklahoma (KAEFS-OK))",FORB,,,"SRL from Ali, H.E., Reineking, B. & Münkemüller, T. Plant Soil (2017) 411: 359. https://doi.org/10.1007/s11104-016-3036-5",
ERIOCHLOA PSEUDOACROTRICHA,,1,,,,,,,,,Milparinka,Poaceae,GRASS,NULL,GRASS,,,,
ERIOGONUM ANNUUM,,,,,1.405,,,,,,"JRN_Chihuahuan, NNSS_Mojave",Polygonaceae,FORB,ANNUAL,FORB,,,,
ERIOGONUM EFFUSUM,23.63,0.139633333,,10.1032686,2.03,,,,,,North Platte,Polygonaceae,SHRUB,PERENNIAL,WOODY,,,,
ERIOGONUM MACULATUM,,,,,,,,,,,"Gmdrc Granitecove, Gmdrc Molar Junction, NNSS_Mojave",Polygonaceae,FORB,ANNUAL,FORB,,,,
ERIOGONUM PUSILLUM,,,,,,,,,,,"Gmdrc Granitecove, Gmdrc Molar Junction",Polygonaceae,FORB,ANNUAL,FORB,,,,
ERIOGONUM SPHAEROCEPHALUM,,0.3048,,,0.3556,,,,,,ORE IDE AA,Polygonaceae,SHRUB,PERENNIAL,WOODY,,,,
ERIOPHORUM ANGUSTIFOLIUM,20.00955403,0.392104,5.5,13.32708698,0.2895,0.11,37.5,0.7875,Diam from groot,,"Lygra_intermediate, Lygra_old",Cyperaceae,GRAMINOID,NULL,GRAMINOID,,,,
ERIOPHORUM VAGINATUM,18.34176544,0.441666667,7.2,10.24422818,0.4,0.0933333,148.81,0.756666667,"Root C, SRL, Diam from groot",,"Lygra_intermediate, Lygra_old",Cyperaceae,GRAMINOID,NULL,GRAMINOID,,,,
ERIOPHYLLUM LANATUM var. LEUCOPHYLLUM,,,,,,,,,,,"Cowichan Drt, ORE IDE AC",Compositae,FORB,PERENNIAL,FORB,,,,
ERIOPHYLLUM PRINGLEI,,,,,,,,,,,NNSS_Mojave,Compositae,FORB,ANNUAL,FORB,,,,
ERIOPHYLLUM WALLACEI,,,,,,,,,,,"Gmdrc Granitecove, Gmdrc Molar Junction",Compositae,FORB,ANNUAL,FORB,,,,
ERIOSEMA CORDATUM,27.2,,27.2,,,,,,,,Ukulinga Drought,Fabaceae,LEGUME,PERENNIAL,LEGUME,,,leafN from Carmona et al. 2021 Sci Adv,
ERODIUM AUREUM,,0.18299289,,38.098939,,,,,,,"CredoJ, CredoM",Geraniaceae,FORB,BIENNIAL,FORB,,,,
ERODIUM CICUTARIUM,34.47666667,0.0275,11.48,28.8428,0.5,0.43626943,71.7331,0.1243,"RootC and N, RTD,  Diam from groot",,"Cap Mcdowell, CredoJ, CredoM, Gmdrc Granitecove, Gmdrc Molar Junction, La Campana North Facing, La Campana South Facing, Quebrada de Talca North Facing, Quebrada de Talca South Facing, SantaCruzHigh, SantaCruzLow, SantaCruzMiddle, San Pablo Valdes Drt",Geraniaceae,FORB,ANNUAL,FORB,,,,
ERODIUM TEXANUM,,,,,,,,,,,"Cap Mcdowell, Cap Whitetank",Geraniaceae,FORB,ANNUAL,FORB,,,,
ERYNGIUM EBRACTEATUM,,,,,,,,,,,"Las Chilcas Drt, Mar Chiquita Drt",Apiaceae,NULL,NULL,FORB,,,,
ERYTHRONIUM OREGONUM,,,,,,,,,,,Cowichan Drt,Liliaceae,FORB,PERENNIAL,FORB,,,,
ESCHSCHOLZIA CALIFORNICA,30.69230769,0.405253333,,27.92808564,0.254,0.015053333,527.2,0.24385,"SLA, thick, RTD, SRL, Diam from Justin",,"SantaCruzHigh, SantaCruzMiddle",Papaveraceae,FORB,PERENNIAL,FORB,,,leafN from Komastu et al. 2023 EDI,
ESCOBARIA VIVIPARA,,,,,,,,,,,Cedar Point - Drought-Net,Cactaceae,SUCCULENT,PERENNIAL,FORB,,,,
EUPATORIUM LEUCOLEPIS,,,,,,,,,,,Sandhills,Compositae,FORB,PERENNIAL,FORB,,,,
EUPATORIUM ROTUNDIFOLIUM,,,,,,,,,,,Sandhills,Compositae,FORB,PERENNIAL,FORB,,,,
EUPHORBIA ALBOMARGINATA,,0.05,,12.64955294,0.83,,12.13448,0.09,,depth from groot,"Gmdrc Molar Junction, NNSS_Mojave, Sevilleta_Blue",Euphorbiaceae,FORB,"PERENNIAL, Annual (NNSS_Mojave)",FORB,,,height from Carmona et al. 2021 Sci Adv,
EUPHORBIA CYPARISSIAS,29,0.2375,8.96,23.6,0.89,0.411,6.34,0.699,,,"Allmend Brachy, Allmend Ovina",Euphorbiaceae,FORB,PERENNIAL,FORB,,,,
EUPHORBIA DENTATA,21.49,,,60,,0.28,103.12864,0.21,,,Oklahoma (KAEFS-OK),Euphorbiaceae,FORB,ANNUAL,FORB,,,leafN from Craine et al. 2012 Plant Soil,"SRL from Tucker SS, Craine JM, Nippert JB (2011) Physiological drought tolerance and the structuring of tallgrass assemblages. Ecosphere 2(4): 48"
EUPHORBIA DRUMMONDII,,0.1276,,12.13032804,,,,,,,"CredoJ, CredoM, Ethabuka_DNB, Quilpie",Euphorbiaceae,FORB,PERENNIAL,FORB,,,,
EUPHORBIA EICHLERI,,,,,,,,,,,Los Cerrillos,Euphorbiaceae,FORB,PERENNIAL,FORB,,,,
EUPHORBIA GLYPTOSPERMA,21.63,,,12.82051282,,,,,,,Jornada_LTER Drt,Euphorbiaceae,FORB,ANNUAL,FORB,,,leafN from Craine et al. 2012 Plant Soil,SLA from Carmona et al. 2021 Sci Adv.
EUPHORBIA LATA,,,,,,,,,,,Sevilleta_Black,Euphorbiaceae,FORB,PERENNIAL,FORB,,,,
EUPHORBIA POLYCARPA,,,,,,,,,,,Cap Mcdowell,Euphorbiaceae,FORB,NULL,FORB,,,,
EUPHORBIA PUBENTISSIMA,,,,,,,,,,,Sandhills,Euphorbiaceae,FORB,PERENNIAL,FORB,,,,
EUPHORBIA SEGUIERIANA,,0.425,,18.4,1.6675,,,,,,Kiskunsag,Euphorbiaceae,FORB,PERENNIAL,FORB,,,,
EUPHRASIA MINIMA,26.868,0.108,,17.10079827,,,,,,,Passo Gavia,Scrophulariaceae,FORB,ANNUAL,FORB,,,,
EUTHAMIA GRAMINIFOLIA,19.4891582,0.798,,12.04198841,,,,,,,"Cedar Creek Savanna, Purdue Wildlife Area",Compositae,FORB,PERENNIAL,FORB,,,,
EVOLVULUS SERICEUS,,0.165186473,,13.12723643,,,,,,,"BFL, EEA",Convolvulaceae,FORB,PERENNIAL,FORB,,,,
FACELIS RETUSA,,0.0311,,,,,,,,,"EEA, San Pablo Valdes Drt",Compositae,FORB,NULL,FORB,,,,
FAGUS SYLVATICA,21.57683121,27.10185714,3.73333,18.54393462,0.91875,0.565265667,28.44544129,0.524726557,"RootC, dpeth, RTD, SRL, Diam from groot",,Kranzberg,Fagaceae,TREE,PERENNIAL,WOODY,,,,
FALCARIA VULGARIS,,1.2613,,13.0375,1.8,0.147,216.667,1.15043,,,Jena,Apiaceae,FORB,PERENNIAL,FORB,,,,
FESTUCA ALTAICA,,,12.5,,0.84,,,,depth from groot,,"Biddulph, Kernen_burned, Kernen_unburned",Poaceae,GRAMINOID,PERENNIAL,GRASS,,,,
FESTUCA ARUNDINACEA,26.75,0.922297147,9.306666667,16.0977261,1.415,0.208261132,167.503371,0.383552278,"RootC and N, depth, RTD, SRL, Diam from groot",,"Allmend Brachy, Allmend Ovina, Las Chilcas Drt, Mar Chiquita Drt, San Claudio",Poaceae,GRASS,PERENNIAL,GRASS,,,,
FESTUCA HALLERI,13,0.1225,,9.9,0.101,,,0.31,,,Passo Gavia,Poaceae,GRASS,PERENNIAL,GRASS,,,height from Carmona et al. 2021,
FESTUCA HALLII,,,7.28,,,0.499767239,82.94415808,0.20186,"Daim, RTD, SRL from groot",,Kinsella,Poaceae,GRASS,PERENNIAL,GRASS,,,,
FESTUCA IDAHOENSIS,10.3118547,0.6096,,42.75,0.3556,,,,,,"CMSS, ORE IDE AA, ORE IDE AC",Poaceae,GRASS,PERENNIAL,GRASS,,,,
FESTUCA OVINA,16.78631631,0.414347827,7.790299962,16.83674211,0.254,0.18,180.6632143,0.02,"RootC and N, RTD, SRL, Diam from groot",,"Allmend Brachy, Allmend Ovina",Poaceae,GRASS,PERENNIAL,GRASS,,,,
FESTUCA PRATENSIS,22.6929621,0.4,9.037334647,21.47,0.233,0.091553497,289.7039134,0.217565197,"RootC and N, RTD, SRL, Diam from groot",,"Bayreuth_DroughtNet, EE Elva, Rhijnauwen, Teshio Experimental Grassland",Poaceae,GRASS,PERENNIAL,GRASS,,,,
FESTUCA PYROGEA,,,,,,,,,,,Potrok Aike Drt,Poaceae,GRASS,PERENNIAL,GRASS,,,,
FESTUCA RUBRA,19.05492673,0.452958333,7.08,20.02617821,0.3048,0.233235525,348.147287,0.12,"RTD, SRL from groot",,"Bad Drought, Bayreuth_DroughtNet, EE Elva, Pineta, Rhijnauwen",Poaceae,GRASS,PERENNIAL,GRASS,,,,
FESTUCA RUPICOLA,17.52444444,0.24175,,14.17171717,0.6376923,,,,,,Bad Drought,Poaceae,GRASS,PERENNIAL,GRASS,,,,
FESTUCA VAGINATA,,1,,17.18213058,,,,,,,Kiskunsag,Poaceae,GRASS,PERENNIAL,GRASS,,,,
FESTUCA VIVIPARA,13.90714177,0.065,,11.02,,,,,,,"Lygra_intermediate, Lygra_old",Poaceae,GRASS,NULL,GRASS,,,"leafN from Bjorkman, AD, IH Myers-Smith, SC Elmendorf, S Normand, HJD Thomas, and 86 others (2018) Tundra Trait Team: a database of plant traits spanning the tundra biome. Global Ecology and Biogeography 27(12): 1402-1411.",
FIMBRISTYLIS PUBERULA,,0.234,,18.9983695,,,,,,,Oklahoma (KAEFS-OK),Cyperaceae,GRASS,PERENNIAL,GRAMINOID,,,,
FRAGARIA VESCA,16.48863464,0.136111111,,24.4032544,0.25,0.351086957,312.2441806,0.1112,"RTD, SRL, Diam from groot",,"EE Elva, Pineta",Rosaceae,FORB,PERENNIAL,FORB,,,,
FRAGARIA VIRIDIS,28.3614838,0.104166667,,17.04997,0.32,0.2599583,215,1.136,,,Jena,Rosaceae,FORB,PERENNIAL,FORB,,,,
FUMANA ERICIFOLIA,10.02,0.2,,4.558011959,0.49,,,,,,Ayora Experimental Station,Cistaceae,SUBSHRUB,PERENNIAL,WOODY,,,,
FUMANA LAEVIPES,,0.045,,9.224,,,,,,,Ayora Experimental Station,Cistaceae,SUBSHRUB,PERENNIAL,WOODY,,,,
FUMANA PROCUMBENS,16,0.15,,8.22,0.28,,,,,,Kiskunsag,Cistaceae,FORB,PERENNIAL,FORB,,,,
FUMARIA CAPREOLATA,,0.9125,,,,,,,,,Ayora Experimental Station,Papaveraceae,FORB,ANNUAL,FORB,,,,
GAILLARDIA AESTIVALIS,,,,,,,,,,,SLP,Compositae,FORB,PERENNIAL,FORB,,,,
GAILLARDIA ARISTATA,,0.6096,12.98,22.63,0.4064,0.53,7.43,0.66,SLA and Rdiam from Julie Larson,,Matador,Compositae,FORB,PERENNIAL,FORB,,,,
GALACTIA ERECTA,,,,,,,,,,,Sandhills,Fabaceae,LEGUME,PERENNIAL,LEGUME,,,,
GALACTIA MARGINALIS,,0.177117117,,6.500004464,,,,,,,BFL,Fabaceae,FORB,PERENNIAL,LEGUME,,,,
GALACTIA REGULARIS,,0.388,,12.733856,,,,,,,Sandhills,Fabaceae,LEGUME,PERENNIAL,LEGUME,,,,
GALIUM APARINE,30.3875,0.765787211,17.66740825,34.58771111,0.1016,0.246153846,342.4265529,0.153183334,"RootC and N, RTD, SRL, Diam from groot",,"Bad Drought, Cowichan Drt, La Campana South Facing, Quebrada de Talca South Facing",Rubiaceae,FORB,ANNUAL,FORB,,,,
GALIUM BOREALE,18.80683333,0.37,10,22.71017578,0.1524,0.315984509,172.8382766,0.1779,"RTD, SRL, Diam from groot",,"Brookdale, Cedar Creek Savanna, Kernen_burned, Kernen_unburned, Matador",Rubiaceae,FORB,PERENNIAL,FORB,,,,
GALIUM LUCIDUM,26,0.375,,40.8,,,,,,,Ayora Experimental Station,Rubiaceae,VINE,PERENNIAL,FORB,,,,
GALIUM MOLLUGO,29.6653889,0.57825,12.06782427,21.5515698,,0.105319476,406.1581499,0.264461111,"RootC and N, RTD, SRL, Diam from groot",,"Allmend Brachy, Rhijnauwen",Rubiaceae,FORB,ANNUAL,FORB,,,,
GALIUM RICHARDIANUM,,,,,0.1688729,,,,,,"EEA, San Pablo Valdes Drt",Rubiaceae,FORB,ANNUAL,FORB,,,,
GALIUM SAXATILE,25.1,0.175,,25.08983957,,,,,,,"Lygra_intermediate, Lygra_old",Rubiaceae,FORB,NULL,FORB,,,,
GALIUM VERUM,21.6094737,0.516038889,11.75956766,17.72121934,0.7266667,0.140178711,402.3842917,0.122981034,"RootC and N, RTD, SRL, Diam from groot",,"Allmend Brachy, Allmend Ovina, Pineta",Rubiaceae,FORB,PERENNIAL,FORB,,,,
GALIUM VIRGATUM,,0.059,,20.40142857,,,,,,,Oklahoma (KAEFS-OK),Rubiaceae,FORB,ANNUAL,FORB,,,"height, SLA from Carmona et al. 2021 Sci Adv",
GAURA COCCINEA,,,,14.93401246,0.47,,7.307967,0.345,,depth from groot,"Cedar Point - Drought-Net, Mattheis",Onagraceae,FORB,PERENNIAL,FORB,,,,
GAYA PARVIFLORA,,,,,,,,,,,Los Cerrillos,Malvaceae,FORB,PERENNIAL,FORB,,,,
GENISTA SCORPIUS,,1.5,,9.527159544,,,,,,,Middle Ebro Valley,Fabaceae,SHRUB,NULL,LEGUME,,,,
