"","Taxon","site_code","mean.after.control.0","mean.after.drought.0","mean.before.control.0","mean.before.drought.0","drought.after.before","control.after.before","cover.change","leafN.mg.g","height.m","rootN.mg.g","SLA_m2.kg","root.depth_m","RTD.g.cm3","SRL_m.g","rootDiam.mm","local_lifeform","local_lifespan","functional_group"
"704","LITHOSPERMUM CAROLINIENSE","cedarsav.us",0,0,5.5,4.8,-4.8,-5.5,0.7,17.774,0.525833334,NA,12.63662801,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"705","LITHOSPERMUM INCISUM","cdpt_drt.us",2.75,2.166666667,1.75,1.916666667,0.25,1,-0.75,26.9,0.2176,NA,12.77,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"706","LITHOSPERMUM INCISUM","mattheis.ca",5.5,10,10,1.5,8.5,-4.5,13,26.9,0.2176,NA,12.77,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"715","LOMANDRA MICRANTHA","jilpanger.au",0,0,0,0.5,-0.5,0,-0.5,6.8159292,0.466666667,NA,1.398045,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"716","LOMANDRA NANA","jilpanger.au",0.5,0.666666667,0.666666667,0.5,0.166666667,-0.166666667,0.333333333,NA,0.17,NA,5.237313,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"717","LOMATIUM NUDICAULE","cowidrt.ca",2,0,2,0,0,0,0,NA,0.1257,NA,13.2,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"735","LYSIMACHIA EUROPAEA","lygraint.no",2,1,3,2.5,-1.5,-1,-0.5,32.8,0.09,NA,51,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"736","LYSIMACHIA NUMMULARIA","rhijn.nl",0,2,0,20,-18,0,-18,17.1,0.5,NA,30.86299914,0.32,NA,NA,NA,"FORB","PERENNIAL","FORB"
"737","LYTHRUM HYSSOPIFOLIA","chilcasdrt.ar",0.25,0,0,0,0,0.25,-0.25,NA,0.305833333,NA,24.09,NA,NA,NA,NA,"FORB","ANNUAL","FORB"
"738","LYTHRUM HYSSOPIFOLIA","scruzh.us",0,7.057965,0,0,7.057965,0,7.057965,NA,0.305833333,NA,24.09,NA,NA,NA,NA,"FORB","ANNUAL","FORB"
"739","LYTHRUM HYSSOPIFOLIA","marcdrt.ar",0,0,0,1,-1,0,-1,NA,0.305833333,NA,24.09,NA,NA,NA,NA,"FORB","ANNUAL","FORB"
"740","MACHAERANTHERA PINNATIFIDA","sevblack.us",2.833333333,0,0.5,0,0,2.333333333,-2.333333333,NA,NA,NA,14.18259087,1.335,NA,9.58714,0.248,"FORB","PERENNIAL","FORB"
"741","MACHAERANTHERA PINNATIFIDA","cdpt_drt.us",0.3,0.1,0.5,0.5,-0.4,-0.2,-0.2,NA,NA,NA,14.18259087,1.335,NA,9.58714,0.248,"FORB","PERENNIAL","FORB"
"742","MACHAERANTHERA PINNATIFIDA","sevmixed.us",0.5,0.5,0.833333333,0.5,0,-0.333333333,0.333333333,NA,NA,NA,14.18259087,1.335,NA,9.58714,0.248,"FORB","PERENNIAL","FORB"
"743","MARSDENIA AUSTRALIS","credom.au",0,0.5,0,0,0.5,0,0.5,NA,NA,NA,5.8,NA,NA,NA,NA,"VINE","PERENNIAL","FORB"
