,Species,leafN.mg.g,Height.m,rootN.mg.g,SLA.mg.g,Root.depth.m,SRL.fine.cm.g,root.diam.mm,SLA.no.petiole.mm2.mg,SLA.unknown.petiole.mm2.mg,SLA.petiole.mm2.mg
6481,Leontodon taraxacoides,NA,NA,NA,17.4,NA,NA,NA,17.4,NA,NA
6482,Leontodon taraxacoides subsp. taraxacoides,NA,0.065,NA,18.62,NA,NA,NA,NA,NA,18.62
6483,Leontopodium nivale,NA,0.125,NA,NA,NA,NA,NA,NA,NA,NA
6484,Leontopodium ochroleucum,NA,NA,NA,12.51564456,NA,NA,NA,12.51564456,NA,NA
6485,Leonurus cardiaca,NA,0.825,NA,NA,NA,NA,NA,NA,NA,NA
6486,Leonurus marrubiastrum,NA,0.85,NA,24.42,NA,NA,NA,25.84,NA,23
6487,Leonurus sibiricus,22.76,NA,NA,NA,NA,NA,NA,NA,NA,NA
6488,Leopoldia comosa,14.5,0.6125,NA,NA,NA,NA,NA,NA,NA,NA
6489,Leopoldia tenuiflora,NA,0.325,NA,NA,NA,NA,NA,NA,NA,NA
6490,Lepechinia calycina,16.1,2.1,NA,11.66380313,NA,NA,NA,12.03,12.9614094,10
6491,Lepechinia speciosa,NA,NA,NA,12.82051282,NA,NA,NA,NA,12.82051282,NA
6492,Lepidium africanum,NA,0.185,NA,11.91991463,NA,NA,NA,NA,11.91321951,11.92660976
6493,Lepidium bonariense,NA,0.4,NA,14.04545562,NA,NA,NA,NA,NA,14.04545562
6494,Lepidium campestre,NA,0.628666667,NA,25.51,NA,NA,NA,22.6,NA,28.42
6495,Lepidium cartilagineum,NA,NA,NA,9.523809524,NA,NA,NA,NA,9.523809524,NA
6496,Lepidium coronopus,NA,0.206,NA,25.19833333,NA,NA,NA,18.8,NA,31.59666667
6497,Lepidium densiflorum,17.62938592,0.3625,NA,60.085,NA,NA,NA,63.1,NA,57.07
6498,Lepidium didymum,NA,0.295833333,NA,31.64848439,NA,NA,NA,31.35,NA,31.94696878
6499,Lepidium draba,NA,0.475,NA,21.20321988,NA,NA,NA,21.20321988,NA,NA
6500,Lepidium graminifolium,NA,0.6375,NA,NA,NA,NA,NA,NA,NA,NA
6501,Lepidium heterophyllum,NA,0.351666667,NA,NA,NA,NA,NA,NA,NA,NA
6502,Lepidium latifolium,41.15,0.820833333,NA,15.45166667,NA,NA,NA,16.8,NA,14.10333333
6503,Lepidium montanum,NA,0.24384,NA,NA,0.254,NA,NA,NA,NA,NA
6504,Lepidium muelleriferdinandi,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA
6505,Lepidium oxytrichum,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA
6506,Lepidium perfoliatum,NA,0.3125,NA,NA,NA,NA,NA,NA,NA,NA
6507,Lepidium phlebopetalum,NA,0.2,NA,13.48,NA,NA,NA,NA,NA,13.48
6508,Lepidium ruderale,NA,0.266666667,NA,20.91571146,NA,NA,NA,20.91571146,NA,NA
6509,Lepidium sativum,NA,0.3725,NA,22.14666667,NA,NA,NA,NA,NA,22.14666667
6510,Lepidium sp,NA,0.35,NA,18.54674797,NA,NA,NA,NA,18.54674797,18.54674797
6511,Lepidium virginicum,NA,0.4975,NA,23.76,NA,NA,NA,NA,NA,23.76
6512,Lepidosperma australe,NA,0.8,NA,2.632482565,NA,NA,NA,NA,NA,2.632482565
6513,Lepidosperma carphoides,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
6514,Lepidosperma laterale,5.95,0.82,NA,4.89982264,NA,NA,NA,NA,4.89982264,4.89982264
6515,Lepidosperma semiteres,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
6516,Lepidothamnus colensoi,NA,5.5,NA,3.930117365,NA,NA,NA,NA,NA,3.930117365
6517,Lepidothamnus intermedius,NA,7,NA,3.377915908,NA,NA,NA,NA,NA,3.377915908
6518,Lepidothamnus laxifolius,10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
6519,Lepisanthes senegalensis,NA,NA,NA,16.33986928,NA,NA,NA,NA,16.33986928,NA
6520,Lepismium houlletianum,24,NA,NA,NA,NA,NA,NA,NA,NA,NA
6521,Leptaulus daphnoides,16.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
6522,Leptecophylla juniperina,NA,1.325,NA,5.611874169,NA,NA,NA,NA,NA,5.611874169
6523,Leptinella serrulata,NA,0.133333333,NA,31.84527206,NA,NA,NA,NA,NA,31.84527206
6524,Leptobalanus apetalus,12.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
6525,Leptobalanus gardneri,18.18337625,NA,NA,14.00975026,NA,NA,NA,NA,14.00975026,NA
6526,Leptobalanus jefensis,NA,NA,NA,7.117437722,NA,NA,NA,NA,7.117437722,NA
6527,Leptobalanus longistylus,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
6528,Leptobalanus octandrus,22.26232,21.66666667,NA,15.41148346,NA,NA,NA,NA,15.41148346,NA
6529,Leptochloa fusca,19.35,NA,5,NA,NA,NA,0.2,NA,NA,NA
6530,Leptochloa fusca subsp. fascicularis,NA,1.00584,NA,NA,0.1016,NA,NA,NA,NA,NA
6531,Leptocoryphium lanatum,NA,0.38287037,NA,NA,NA,NA,NA,NA,NA,NA
6532,Leptodermis pilosa,25.03,NA,NA,15.65312758,NA,NA,NA,15.65680288,15.64945227,NA
6533,Leptolobium dasycarpum,24.43684211,NA,NA,NA,NA,NA,NA,NA,NA,NA
6534,Leptolobium elegans,26.35,NA,NA,NA,NA,NA,NA,NA,NA,NA
6535,Leptopteris hymenophylloides,NA,0.9,NA,28.78863963,NA,NA,NA,NA,NA,28.78863963
6536,Leptopteris sp,NA,0.35,NA,22.78826068,NA,NA,NA,NA,NA,22.78826068
6537,Leptopteris superba,NA,0.625,NA,24.72235197,NA,NA,NA,NA,NA,24.72235197
6538,Leptorhynchos baileyi,NA,0.2,NA,16.02,NA,NA,NA,NA,NA,16.02
6539,Leptosiphon grandiflorus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6540,Leptospermum erubescens,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
6541,Leptospermum laevigatum,NA,2,NA,12.70688079,NA,NA,NA,25.3,6.4675,6.353142362
6542,Leptospermum lanigerum,NA,3.5,NA,7.463324837,NA,NA,NA,NA,7.463324837,7.463324837
6543,Leptospermum myrsinoides,10.1,NA,NA,18.55426262,NA,NA,NA,31.81963636,5.288888889,NA
6544,Leptospermum obovatum,NA,3,NA,9.091943128,NA,NA,NA,NA,9.091943128,9.091943128
6545,Leptospermum parvifolium,NA,1.5,NA,6.198,NA,NA,NA,NA,6.198,6.198
6546,Leptospermum polygalifolium,13.38835473,NA,NA,10.93141767,NA,NA,NA,10.89805337,NA,10.96478196
6547,Leptospermum rotundifolium,NA,0.5,NA,9.591212121,NA,NA,NA,NA,9.591212121,9.591212121
6548,Leptospermum scoparium,NA,2.992857143,NA,8.328405884,NA,NA,NA,NA,NA,8.328405884
6549,Leptospermum sp,NA,2,NA,5.973741007,NA,NA,NA,NA,5.973741007,5.973741007
6550,Leptospermum trinervium,8.283945555,2.766666667,NA,7.532863432,NA,NA,NA,7.775473525,7.294587459,7.528529313
6551,Leretia cordata,19.162255,NA,NA,16.23715714,NA,NA,NA,NA,16.23715714,NA
6552,Lespedeza bicolor,25.78222222,2.4384,NA,23.95383951,0.4064,NA,NA,NA,23.95383951,NA
6553,Lespedeza buergeri,24.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
6554,Lespedeza capitata,19.09948702,0.693334603,NA,12.25680193,0.4572,NA,NA,NA,11.87,12.64360385
6555,Lespedeza capitula,NA,NA,NA,36.7,NA,NA,NA,36.7,NA,NA
6556,Lespedeza cuneata,NA,0.396,NA,29.4604927,NA,NA,NA,29.4604927,NA,NA
6557,Lespedeza cyrtobotrya,NA,NA,NA,31.25,NA,NA,NA,NA,31.25,NA
6558,Lespedeza davurica,24.36,NA,NA,15.85334804,NA,NA,NA,NA,15.85334804,NA
6559,Lespedeza hirta,NA,1.8288,NA,NA,0.2286,NA,NA,NA,NA,NA
6560,Lespedeza juncea,25,NA,NA,19.53125,NA,NA,NA,NA,19.53125,NA
6561,Lespedeza squarosa,NA,0.32,NA,NA,NA,NA,NA,NA,NA,NA
6562,Lespedeza thunbergii,NA,2.4384,NA,NA,0.4572,NA,NA,NA,NA,NA
6563,Lespedeza virgata,NA,0.6096,NA,NA,0.2032,NA,NA,NA,NA,NA
6564,Leucadendron arcuatum,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
6565,Leucadendron brunioides,5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
6566,Leucadendron concavum,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
6567,Leucadendron coniferum,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
6568,Leucadendron conifesula,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
6569,Leucadendron elimense,NA,NA,NA,4.405286344,NA,NA,NA,NA,4.405286344,NA
6570,Leucadendron foedum,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
6571,Leucadendron gandogeri,3.625,NA,NA,NA,NA,NA,NA,NA,NA,NA
6572,Leucadendron lanigerum,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
6573,Leucadendron laureolum,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
6574,Leucadendron meridianum,NA,NA,NA,3.623188406,NA,NA,NA,NA,3.623188406,NA
6575,Leucadendron pubescens,5.466666667,NA,NA,NA,NA,NA,NA,NA,NA,NA
6576,Leucadendron rubrum,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
6577,Leucadendron salignum,4.110714286,NA,NA,NA,NA,NA,NA,NA,NA,NA
6578,Leucadendron xanthoconus,5.7625,NA,NA,6.578947368,NA,NA,NA,NA,6.578947368,NA
6579,Leucaena leucocephala,38.5875,5.334,NA,10.57420006,0.1016,NA,NA,9.425070688,11.72332943,NA
6580,Leucaena retusa,NA,5.6388,NA,NA,0.3048,NA,NA,NA,NA,NA
6581,Leucanthemopsis alpina,NA,0.035,NA,15.8,NA,NA,NA,16,15.6,NA
6582,Leucanthemum atratum,NA,0.225,NA,NA,NA,NA,NA,NA,NA,NA
6583,Leucanthemum ircutianum,NA,0.44,NA,15.172,NA,NA,NA,NA,NA,15.172
6584,Leucanthemum vulgare,30.26796208,0.53192,NA,18.01419965,0.2032,NA,NA,17.61459208,18.195,18.23300687
6585,Leucochrysum molle,NA,0.3,NA,6.4,NA,NA,NA,NA,NA,6.4
6586,Leucojum aestivum,NA,0.5375,NA,24.44333333,NA,NA,NA,NA,NA,24.44333333
6587,Leucojum vernum,NA,0.2,NA,32.57,NA,NA,NA,NA,NA,32.57
6588,Leucopogon conostephioides,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
6589,Leucopogon esquamatus,NA,0.95,NA,8.101900163,NA,NA,NA,NA,8.101900163,8.101900163
6590,Leucopogon fasciculatus,NA,1.55,NA,10.2876708,NA,NA,NA,NA,NA,10.2876708
6591,Leucopogon juniperinus,NA,1,NA,14.49137931,NA,NA,NA,NA,14.49137931,14.49137931
6592,Leucopogon malayanus,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
6593,Leucopogon microphyllus,NA,0.3,NA,5.798,NA,NA,NA,NA,5.798,5.798
6594,Leucopogon pancheri,8.7,NA,NA,4.82,NA,NA,NA,4.82,NA,NA
6595,Leucopogon sp,NA,1.5,NA,5.023623188,NA,NA,NA,NA,5.023623188,5.023623188
6596,Leucosidea sericea,14.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
6597,Leucospermum conocarpodendron,6.85,NA,NA,NA,NA,NA,NA,NA,NA,NA
6598,Leucospermum cordifolium,6.75,NA,NA,3.300330033,NA,NA,NA,NA,3.300330033,NA
6599,Leucospermum hypophyllocarpodendron,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
6600,Leucospermum tomentosum,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
6601,Leucospermum truncatulum,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
6602,Leucothoe axillaris,NA,1.905,NA,NA,0.381,NA,NA,NA,NA,NA
6603,Leucothoe fontanesiana,NA,1.2192,NA,7.528556594,0.4064,NA,NA,NA,7.528556594,NA
6604,Levisticum officinale,NA,1.6,NA,27,NA,NA,NA,27,NA,NA
6605,Leycesteria formosa,NA,2.5,NA,48.11535578,NA,NA,NA,NA,NA,48.11535578
6606,Leymus angustus,NA,0.9144,NA,NA,0.4064,NA,NA,NA,NA,NA
6607,Leymus arenarius,NA,1.0548,NA,7.4,0.4064,NA,NA,7.4,NA,NA
6608,Leymus chinensis,23.50068609,NA,NA,NA,NA,NA,NA,NA,NA,NA
6609,Leymus cinereus,NA,1.524,NA,NA,0.508,NA,NA,NA,NA,NA
6610,Leymus condensatus,NA,2.5908,NA,NA,0.4572,NA,NA,NA,NA,NA
6611,Leymus flavescens,NA,0.9144,NA,NA,0.254,NA,NA,NA,NA,NA
6612,Leymus innovatus,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
6613,Leymus mollis subsp. mollis,NA,1.2192,NA,NA,0.4064,NA,NA,NA,NA,NA
6614,Leymus nutans,19.78,NA,NA,NA,NA,NA,NA,NA,NA,NA
6615,Leymus racemosus,NA,0.9144,NA,NA,0.4064,NA,NA,NA,NA,NA
6616,Leymus salinus,NA,0.70104,NA,NA,0.254,NA,NA,NA,NA,NA
6617,Leymus secalinus,21.56,NA,NA,10.19797529,NA,NA,NA,10.27449309,10.12145749,NA
6618,Leymus sp,25,NA,NA,NA,NA,NA,NA,NA,NA,NA
6619,Leymus tianschanicus,29.34,NA,NA,NA,NA,NA,NA,NA,NA,NA
6620,Leymus triticoides,NA,0.9144,NA,NA,0.254,NA,NA,NA,NA,NA
12549,liana sp,NA,NA,NA,10.03272108,NA,NA,NA,NA,10.03272108,NA
6621,Liatris aspera,12.33641253,1.2,NA,18.35069678,NA,NA,NA,22.4,NA,14.30139355
6622,Liatris cylindracea,12.8,NA,NA,11.60104001,NA,NA,NA,NA,NA,11.60104001
6623,Liatris pilosa var. pilosa,NA,1.524,NA,NA,0.2286,NA,NA,NA,NA,NA
6624,Liatris punctata,NA,0.6096,NA,9.8333502,0.3556,NA,NA,NA,NA,9.8333502
6625,Liatris pycnostachya,NA,1.0668,NA,8.985170436,0.3556,NA,NA,NA,NA,8.985170436
6626,Liatris sp,NA,0.75,NA,14.20583201,NA,NA,NA,NA,NA,14.20583201
6627,Liatris spicata,NA,1.3716,NA,NA,0.3556,NA,NA,NA,NA,NA
6628,Liatris squarrosa,22.06384,0.4548,NA,16.33650548,NA,NA,NA,16.33650548,NA,NA
6629,Liatris squarrulosa,NA,0.6528,NA,7.449623041,0.3556,NA,NA,7.449623041,NA,NA
6630,Libanotis pyrenaica,NA,0.466666667,NA,24.91,NA,NA,NA,NA,NA,24.91
6631,Libertia pulchella,NA,0.05,NA,11.0886344,NA,NA,NA,NA,NA,11.0886344
6632,Libidibia coriaria,NA,NA,NA,34.6285,NA,NA,NA,34.6285,NA,NA
6633,Libidibia monosperma,NA,19.05,NA,NA,0.9144,NA,NA,NA,NA,NA
6634,Libidibia sclerocarpa,NA,NA,NA,33.795,NA,NA,NA,33.795,NA,NA
6635,Libocedrus plumosa,NA,13.5,NA,5.346886998,NA,NA,NA,NA,NA,5.346886998
6636,Librevillea klainei,15.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
6637,Licania blackii,14.02907667,30,NA,6.796763561,NA,NA,NA,NA,6.796763561,NA
6638,Licania canescens,15.3599,20,NA,12.38964324,NA,NA,NA,NA,12.38964324,NA
6639,Licania harlingii,16.328855,26,NA,11.15741622,NA,NA,NA,NA,11.15741622,NA
6640,Licania hoehnei,16.35,11,NA,NA,NA,NA,NA,NA,NA,NA
6641,Licania hypoleuca,20.5549557,17.81769376,NA,18.16338388,NA,NA,NA,19.40834514,NA,16.91842262
6642,Licania kunthiana,21.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
6643,Licania lata,15.7438075,20,NA,10.77850475,NA,NA,NA,NA,10.77850475,NA
6644,Licania laxiflora,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
6645,Licania membranacea,NA,30,NA,12.88413852,NA,NA,NA,NA,12.88413852,NA
6646,Licania michauxii,NA,0.22,NA,10.10247569,NA,NA,NA,10.10247569,NA,NA
6647,Licania michelli,NA,NA,NA,7.974503096,NA,NA,NA,NA,7.974503096,NA
6648,Licania micrantha,22.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
6649,Licania platypus,16.94938718,19.21150784,NA,12.74839375,NA,NA,NA,12.98086571,NA,12.51592179
6650,Licania sp,14.91592417,NA,NA,8.751664728,NA,NA,NA,NA,8.751664728,NA
6651,Licania splendens,NA,NA,NA,7.57,NA,NA,NA,7.57,7.57,NA
6652,Licaria armeniaca,34.4625,7.25,NA,6.619255175,NA,NA,NA,6.619255175,NA,NA
6653,Licaria brasiliensis,18.8,NA,NA,12.1326788,NA,NA,NA,NA,12.1326788,NA
6654,Licaria guianensis,22.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
6655,Licaria misantlae,NA,NA,NA,7.710100231,NA,NA,NA,NA,7.710100231,NA
6656,Licaria salicifolia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6657,Licaria sp,16.45,NA,NA,NA,NA,NA,NA,NA,NA,NA
6658,Licaria triandra,NA,NA,NA,13.74963227,NA,NA,NA,NA,13.74963227,NA
6659,Licuala fordiana,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
6660,Licuala spinosa,13.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
6661,Ligaria cuneifolia,NA,NA,NA,2.576465298,NA,NA,NA,NA,NA,2.576465298
6662,Ligularia alpigena,NA,NA,NA,15.64945227,NA,NA,NA,15.64945227,NA,NA
6663,Ligularia mongolica,12.79,NA,NA,NA,NA,NA,NA,NA,NA,NA
6664,Ligularia sagitta,25.94,NA,NA,NA,NA,NA,NA,NA,NA,NA
6665,Ligularia sibirica,26.5212728,NA,NA,23.12145138,NA,NA,NA,23.12145138,NA,NA
6666,Ligularia virgaurea,20.33833333,NA,NA,10.43984079,NA,NA,NA,10.48467118,10.3950104,NA
6667,Ligusticum mutellina,NA,0.28,NA,22.90033333,NA,NA,NA,12.594,NA,33.20666667
6668,Ligusticum mutellinoides,NA,0.065,NA,NA,NA,NA,NA,NA,NA,NA
6669,Ligusticum scoticum,NA,0.3375,NA,NA,NA,NA,NA,NA,NA,NA
6670,Ligusticum tenuifolium,NA,NA,NA,18.88065745,NA,NA,NA,18.88065745,NA,NA
6671,Ligustrum japonicum,NA,3.048,NA,NA,0.4572,NA,NA,NA,NA,NA
6672,Ligustrum lucidum,NA,4.5,NA,12.00638316,NA,NA,NA,NA,12.00638316,12.00638316
6673,Ligustrum obtusifolium,NA,3.6576,NA,NA,0.508,NA,NA,NA,NA,NA
6674,Ligustrum ovalifolium,NA,3.9384,NA,NA,0.508,NA,NA,NA,NA,NA
6675,Ligustrum vulgare,18.19127564,3.779492857,NA,15.12941083,0.0508,NA,NA,16.48280097,17.70347236,11.20195915
6676,Lijndenia laurina,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
6677,Liliaceae sp,NA,NA,NA,4.592960289,NA,NA,NA,NA,4.592960289,4.592960289
6678,Lilium bulbiferum,NA,0.775,NA,18.52333333,NA,NA,NA,NA,NA,18.52333333
6679,Lilium bulbiferum subsp. bulbiferum,NA,0.9,NA,NA,NA,NA,NA,NA,NA,NA
6680,Lilium martagon,NA,0.7265,NA,25.06173522,NA,NA,NA,26.60347044,23.52,NA
6681,Limnanthes alba,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA
6682,Limnanthes douglasii,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA
6683,Limnobium spongia,NA,0.1524,NA,NA,0.1524,NA,NA,NA,NA,NA
6684,Limonium aureum,27.00625,NA,NA,NA,NA,NA,NA,NA,NA,NA
6685,Limonium bellidifolium,NA,0.1275,NA,NA,NA,NA,NA,NA,NA,NA
6686,Limonium bicolor,25.70833333,NA,NA,NA,NA,NA,NA,NA,NA,NA
6687,Limonium binervosum,NA,NA,NA,12.1,NA,NA,NA,12.1,NA,NA
6688,Limonium carolinianum,NA,0.6096,NA,NA,0.254,NA,NA,NA,NA,NA
6689,Limonium humile,NA,0.175,NA,NA,NA,NA,NA,NA,NA,NA
6690,Limonium minutum subsp. minutum,NA,0.12,NA,NA,NA,NA,NA,NA,NA,NA
6691,Limonium vulgare,NA,0.3325,NA,11.06416667,NA,NA,NA,11.88,NA,10.24833333
6692,Limosella aquatica,NA,0.06625,NA,27.3,NA,NA,NA,27.3,NA,NA
6693,Limosella australis,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA
6694,Linanthus pungens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6695,Linaria alpina,NA,0.06,NA,20.95,NA,NA,NA,25,16.9,NA
6696,Linaria arvensis,NA,0.2425,NA,NA,NA,NA,NA,NA,NA,NA
6697,Linaria purpurea,NA,0.45,NA,16.42,NA,NA,NA,16.42,NA,NA
6698,Linaria repens,NA,0.566666667,NA,25.63333333,NA,NA,NA,NA,NA,25.63333333
6699,Linaria spartea,NA,0.375,NA,NA,NA,NA,NA,NA,NA,NA
6700,Linaria supina,NA,0.19375,NA,NA,NA,NA,NA,NA,NA,NA
6701,Linaria vulgaris,19.85205652,0.609388889,NA,22.52432988,NA,NA,NA,19.98333333,NA,25.06532643
6702,Lindackeria laurina,19.57755865,17.33485373,NA,14.99965669,NA,NA,NA,14.59291742,17.27115717,13.13489549
6703,Lindackeria paludosa,24.05,NA,NA,NA,NA,NA,NA,NA,NA,NA
6704,Lindera benzoin,18.5,3.6576,NA,39.5256917,0.4572,NA,NA,NA,39.5256917,NA
6705,Lindera glauca,26.38,NA,NA,29.3,NA,NA,NA,NA,29.3,NA
6706,Lindera obtusiloba,NA,NA,NA,28.57142857,NA,NA,NA,NA,28.57142857,NA
6707,Lindera triloba,35.085,NA,NA,NA,NA,NA,NA,NA,NA,NA
6708,Lindernia dubia,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA
6709,Lindernia procumbens,NA,0.065,NA,NA,NA,NA,NA,NA,NA,NA
6710,Linnaea borealis,12.28716013,0.661875,NA,27.88803188,NA,NA,NA,30.86606377,NA,24.91
6711,Linum alpinum,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA
6712,Linum austriacum,NA,0.4,NA,17.44,NA,NA,NA,NA,NA,17.44
6713,Linum bienne,NA,0.375,NA,NA,NA,NA,NA,NA,NA,NA
6714,Linum catharticum,20.2751018,0.184833333,NA,30.91750071,NA,NA,NA,33.47328432,NA,28.36171711
6715,Linum corymbulosum,NA,0.21,NA,56.9035533,NA,NA,NA,56.9035533,NA,NA
6716,Linum flavum,NA,0.35,NA,NA,NA,NA,NA,NA,NA,NA
6717,Linum leonii,NA,0.15,NA,NA,NA,NA,NA,NA,NA,NA
6718,Linum lewisii,NA,0.762,NA,NA,0.3556,NA,NA,NA,NA,NA
6719,Linum medium,NA,0.328,NA,22.57688088,NA,NA,NA,22.57688088,NA,NA
6720,Linum narbonense,NA,0.5,NA,7.42761232,NA,NA,NA,7.42761232,NA,NA
6721,Linum nodiflorum,NA,0.1343,NA,16.68939394,NA,NA,NA,16.68939394,NA,NA
6722,Linum perenne,NA,0.466666667,NA,26.23333333,NA,NA,NA,NA,NA,26.23333333
6723,Linum sp,NA,0.3225,NA,NA,NA,NA,NA,NA,NA,NA
6724,Linum stelleroides,NA,NA,NA,10.90037061,NA,NA,NA,NA,10.90037061,NA
6725,Linum striatum,NA,0.79248,NA,NA,0.0508,NA,NA,NA,NA,NA
6726,Linum strictum,NA,0.325,NA,21.41381963,NA,NA,NA,21.41381963,NA,NA
6727,Linum suffruticosum,19.9,0.4,NA,13.83721065,NA,NA,NA,13.83721065,NA,NA
6728,Linum tenuifolium,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA
6729,Linum usitatissimum,NA,0.725,NA,46.66166667,NA,NA,NA,NA,NA,46.66166667
6730,Linum viscosum,NA,0.425,NA,NA,NA,NA,NA,NA,NA,NA
6731,Lipandra polysperma,15.26,0.71875,NA,27.4418682,NA,NA,NA,21.38687121,NA,33.49686518
6732,Liparis loeselii,NA,0.1275,NA,38.02833333,NA,NA,NA,NA,NA,38.02833333
6733,Liparis spectabilis,7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
6734,Lippia micromera,NA,NA,NA,NA,0.3048,NA,NA,NA,NA,NA
6735,Lippia salsa,NA,NA,NA,4.096367962,NA,NA,NA,NA,NA,4.096367962
6736,Lippia sp,28.7,NA,NA,8.1,NA,NA,NA,8.1,NA,NA
6737,Liquidambar excelsa,20.2,0.613,NA,24.27184466,NA,NA,NA,24.27184466,24.27184466,NA
6738,Liquidambar formosana,22.505,NA,NA,18.8,NA,NA,NA,18.8,18.8,NA
6739,Liquidambar obovata,9.685,NA,NA,NA,NA,NA,NA,NA,NA,NA
6740,Liquidambar orientalis,NA,15,NA,NA,NA,NA,NA,NA,NA,NA
6741,Liquidambar styraciflua,14.76346154,24.13266667,NA,14.05024082,0.9144,NA,NA,20.1361618,7.964319847,NA
6742,Liria vulgaris,17.3378191,0.548,NA,16.20748465,NA,NA,NA,16.20748465,NA,NA
6743,Liriodendron tulipifera,25.35214926,46.30266667,NA,28.13,0.8128,NA,NA,NA,28.13,NA
6744,Liriope muscari,26.1,0.1524,NA,12.05,0.3048,NA,NA,NA,NA,12.05
6745,Lisianthius jefensis,NA,NA,NA,9.451795841,NA,NA,NA,NA,9.451795841,NA
6746,Lissanthe strigosa,NA,0.3,NA,2.587867647,NA,NA,NA,NA,2.587867647,2.587867647
6747,Litchi chinensis,13.46666667,NA,NA,NA,NA,NA,NA,NA,NA,NA
6748,Lithocarpus amygdalifolius,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
6749,Lithocarpus cleistocarpus,NA,NA,NA,7.407407407,NA,NA,NA,NA,7.407407407,NA
6750,Lithocarpus cyrtocarpus,16.51,NA,NA,NA,NA,NA,NA,NA,NA,NA
6751,Lithocarpus dealbatus,14.8,20,NA,NA,NA,NA,NA,NA,NA,NA
6752,Lithocarpus fenzelianus,13.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
6753,Lithocarpus glaber,17.14,NA,NA,11.6,NA,NA,NA,NA,11.6,NA
6754,Lithocarpus glabrus,16.11,NA,NA,11.9,NA,NA,NA,11.9,NA,NA
6755,Lithocarpus handelianus,10.29,NA,NA,NA,NA,NA,NA,NA,NA,NA
6756,Lithocarpus harlandii,16.625,NA,NA,11.75,NA,NA,NA,11.6,11.9,NA
6757,Lithospermum canescens,18.9752,NA,NA,14.43083537,NA,NA,NA,NA,NA,14.43083537
6758,Lithospermum caroliniense,17.774,0.525833334,NA,12.63662801,NA,NA,NA,NA,NA,12.63662801
6759,Lithospermum officinale,NA,0.75,NA,21.85,NA,NA,NA,21.85,NA,NA
6760,Lithospermum ruderale,NA,0.4572,NA,NA,0.3048,NA,NA,NA,NA,NA
6761,Lithraea brasiliensis,NA,6.269196429,NA,NA,NA,NA,NA,NA,NA,NA
6762,Lithraea molleoides,16.7,NA,NA,5.613,NA,NA,NA,6.19,4.47,6.179
6763,Lithrea caustica,9.6,10,NA,5.263157895,NA,NA,NA,NA,5.263157895,NA
6764,Litsea accedens,12.84633638,10,NA,18.14755414,NA,NA,NA,18.14755414,NA,NA
6765,Litsea cassiaefolia,21,0.877,NA,13.94700139,NA,NA,NA,13.94700139,13.94700139,NA
6766,Litsea cubeba,36.32,NA,NA,31.46395349,NA,NA,NA,34.2,28.72790698,NA
