"","site_code","Taxon","mean.before.control","mean.before.drought","mean.after.control","mean.after.drought","drought.after.minus.before","control.after.minus.before","cover.change","mean.after.drought.plus","mean.before.drought.plus","mean.after.control.plus","mean.before.control.plus","drought.after.minus.before.plus","control.after.minus.before.plus","cover.change.plus","relative.cover.change","log.fold.change.cover"
"106","kernb.ca","SYMPHYOTRICHUM ERICOIDES",2,0.5,5,2,1.5,3,-1.5,2.0000001,0.5000001,5.0000001,2.0000001,1.5,3,-1.5,-2.99999940000012,1.59999980800004
"107","gmgranite.us","PECTOCARYA HETEROCARPA",1,0.5,3.071428571,2.8,2.3,2.071428571,0.228571429,2.8000001,0.5000001,3.071428671,1.0000001,2.3,2.071428571,0.228571429,0.457142766571446,1.82325563763681
"108","capmcd.us","PECTOCARYA RECURVATA",0.5,0.5,5.214285714,2.857142857,2.357142857,4.714285714,-2.357142857,2.857142957,0.5000001,5.214285814,0.5000001,2.357142857,4.714285714,-2.357142857,-4.71428477114305,0.547945214151623
"109","oreaa.us","TRIFOLIUM MACROCEPHALUM",0.5,0.5,1,3.5,3,0.5,2.5,3.5000001,0.5000001,1.0000001,0.5000001,3,0.5,2.5,4.9999990000002,3.49999975000002
"110","capmcd.us","PLANTAGO PATAGONICA",0.5,0.5,0.75,4,3.5,0.25,3.25,4.0000001,0.5000001,0.7500001,0.5000001,3.5,0.25,3.25,6.49999870000026,5.33333275555563
"111","kernnu.ca","POA PRATENSIS",0,0.5,10,5,4.5,10,-5.5,5.0000001,0.5000001,10.0000001,1e-07,4.5,10,-5.5,-10.9999978000004,9.99999810000038e-08
"112","kernb.ca","ARTEMISIA FRIGIDA",2.166666667,0.5,32,6.666666667,6.166666667,29.833333333,-23.666666666,6.666666767,0.5000001,32.0000001,2.166666767,6.166666667,29.833333333,-23.666666666,-47.3333238653352,0.902777649793429
"113","baddrt.de","FALLOPIA CONVOLVULUS",0.1,0.5,0,0,-0.5,-0.1,-0.4,1e-07,0.5000001,1e-07,0.1000001,-0.5,-0.1,-0.4,-0.799999840000032,0.200000159999968
"114","allmendb.ch","CARLINA VULGARIS",0.25,0.5,0.25,0,-0.5,0,-0.5,1e-07,0.5000001,0.2500001,0.2500001,-0.5,0,-0.5,-0.99999980000004,1.99999960000008e-07
"115","cdpt_drt.us","ESCOBARIA VIVIPARA",0.3,0.5,0.18,0,-0.5,-0.12,-0.38,1e-07,0.5000001,0.1800001,0.3000001,-0.5,-0.12,-0.38,-0.75999984800003,3.33333192592662e-07
"116","credoj.au","GOODENIA MIMULOIDES",0.5,0.5,0.5,0,-0.5,0,-0.5,1e-07,0.5000001,0.5000001,0.5000001,-0.5,0,-0.5,-0.99999980000004,1.99999960000008e-07
"117","credoj.au","SCLEROLAENA OBLIQUICUSPIS",0.5,0.5,0.5,0,-0.5,0,-0.5,1e-07,0.5000001,0.5000001,0.5000001,-0.5,0,-0.5,-0.99999980000004,1.99999960000008e-07
"118","credom.au","CENTAUREA MELITENSIS",0.5,0.5,0.5,0,-0.5,0,-0.5,1e-07,0.5000001,0.5000001,0.5000001,-0.5,0,-0.5,-0.99999980000004,1.99999960000008e-07
"119","credom.au","ERODIUM AUREUM",0.5,0.5,0.5,0,-0.5,0,-0.5,1e-07,0.5000001,0.5000001,0.5000001,-0.5,0,-0.5,-0.99999980000004,1.99999960000008e-07
"120","falls.au","ASPERULA GUNNII",0.5,0.5,0.5,0,-0.5,0,-0.5,1e-07,0.5000001,0.5000001,0.5000001,-0.5,0,-0.5,-0.99999980000004,1.99999960000008e-07
"121","falls.au","MELICYTUS DENTATUS",0.5,0.5,0.5,0,-0.5,0,-0.5,1e-07,0.5000001,0.5000001,0.5000001,-0.5,0,-0.5,-0.99999980000004,1.99999960000008e-07
"122","jilpanger.au","APHELIA PUMILIO",0.5,0.5,0.5,0,-0.5,0,-0.5,1e-07,0.5000001,0.5000001,0.5000001,-0.5,0,-0.5,-0.99999980000004,1.99999960000008e-07
"123","jilpanger.au","ISOLEPIS MARGINATA",0.5,0.5,0.5,0,-0.5,0,-0.5,1e-07,0.5000001,0.5000001,0.5000001,-0.5,0,-0.5,-0.99999980000004,1.99999960000008e-07
